金融機構,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,254563,124872,2650,1027,166906,79208,846298,377,0.08,0.04,1419.18,513,4113
臺灣土地銀行,330700,141433,2105,5417,336223,95791,754562,504,0.14,0.13,1289.54,2430,18232
合作金庫商業銀行,679558,394291,7170,4091,840124,1306139,3791716,1753,0.16,0.15,481.44,3744,39370
第一商業銀行,1546869,934918,15760,10378,1628395,2137631,5896847,9809,0.17,0,924.66,6146,53158
華南商業銀行,1084218,839436,9247,30370,1077293,4828304,4789606,1166,0.06,0,518.69,16993,42185
彰化商業銀行,621784,291106,8357,4080,339120,942939,1831148,936,0.11,0,772.49,1621,14543
上海商業儲蓄銀行,480219,210083,3322,2240,617619,1752900,1653208,4458,0.19,0.11,1044.27,4250,25052
台北富邦商業銀行,7114866,5168476,135569,31791,7860561,31683013,43800919,95563,0.11,0,1339.82,35903,265897
國泰世華商業銀行,7181064,4494980,58547,71022,19167399,31173910,45150953,209752,0.16,0,1428.34,60450,457420
高雄銀行,10104,4527,20,85,13763,658,227105,83,0.35,0.35,206.3,253,1399
兆豐國際商業銀行,1147539,662799,6221,4735,1781426,3348061,4265630,14144,0.26,0.02,557.71,8002,70518
花旗(台灣)商業銀行,19658,11891,578,583,0,0,424956,365,0.06,0,351.8,0,285413
臺灣中小企業銀行,174075,96257,460,715,276477,252292,906910,1059,0.03,0.02,307.64,1279,9513
渣打國際商業銀行,291095,186740,6728,4720,902953,447366,1667525,3920,0.22,0,867,2642,31427
台中商業銀行,163006,80920,1450,675,208005,49835,599109,135,0.14,0.01,1785.93,1083,11886
滙豐(台灣)商業銀行,700273,467317,8884,5391,1814502,1383479,6725715,19279,0.23,0,1416.02,6063,54674
華泰商業銀行,8960,4927,22,16,7706,2040,45016,0,0.44,0.44,611.42,0,161
臺灣新光商業銀行,1069800,606257,10947,7690,1613589,2491079,4034641,4700,0.17,0.02,287.86,6939,54901
陽信商業銀行,117119,58056,884,931,164215,132184,391770,198,0.28,0.02,675.17,2981,7588
三信商業銀行,20000,12951,255,83,27860,16191,137125,38,0.32,0,3472.71,158,992
聯邦商業銀行,2776618,1688037,54395,16290,5931042,6233851,16189382,38105,0.14,0,216.22,15913,123173
遠東國際商業銀行,1362893,979979,7722,84658,3818297,4336050,4133814,93512,0.29,0.07,102.36,12772,96500
元大商業銀行,1207068,559829,6076,8163,1156142,3672757,4356109,16024,0.08,0,826.27,5902,43645
永豐商業銀行,2269014,1245824,16531,46296,3767004,5050516,10669788,62995,0.13,0,683.13,14451,125852
玉山商業銀行,7140978,4789387,88999,58324,13054955,32748509,40968327,237548,0.19,0,411.74,44869,414637
凱基商業銀行,379745,182038,1270,1569,1185020,984109,1122860,6900,1.06,0.72,149.92,5731,57667
星展(台灣)商業銀行,3355321,2362915,14358,47783,9114567,12277660,18271218,89507,0.84,0.29,372.47,8330,102807
台新國際商業銀行,6502814,4478662,60994,49287,10230614,24784891,35476018,110372,0.15,0.01,961.62,26722,212200
安泰商業銀行,125589,55201,624,294,163029,1231455,387283,277,0.32,0.08,393.83,0,4283
中國信託商業銀行,8974881,5686619,98168,36601,15990343,42165776,54208116,504635,0.1,0,384.87,65888,654959
台灣樂天信用卡股份有限公司,495488,198997,2969,2496,587929,668724,840673,5176,2.03,1.04,174.96,850,7230
台灣美國運通國際(股)公司,187954,122981,3392,2204,296505,0,5780838,970,0.16,0,672.69,2827,44283
單位：新臺幣千元，卡,,,,,,資料月份：112 年9月,,,,,,,
